name,country,room_type,nr_nights,date,traveler_type,title_review,pos_review,neg_review,hotel_response,score
Hoevertsz,Aruba,Triple Room,1 night ·,April 2023,Group,Greatful for there kind assistance whenever requested.,The staff was kind and helpful. Excepcionally unique decoration. Safe neighbourhood.,"To be honest, our stay was short and sweet, so there wasn't anything that we didn't like.",,9.0
John,United Kingdom,Budget Single Room,4 nights ·,April 2023,Solo traveller,Four great days in Porto.,"Loved the Art Nouveau style of the central staircase, original wooden hand rail and natural stone floors. The associated memorabilia are completely in keeping with the building. Struck a chord with old and young alike. Minor problem with a loose bathroom fixture was fixed the same day.",One of the lifts was out of order.Temperemental coffee machine in the dining room.,,8.0
Irwin,United Kingdom,Superior Double Room,3 nights ·,April 2023,Couple,Very good,The deco was really interesting. Staff very nice.,A bar or Common lounge open would have been good,,8.0
Valerie,Australia,Budget Single Room,3 nights ·,April 2023,Solo traveller,Very good,Location. Close to attractions. Lots of choices for restaurants.,No tea and coffee making facilities. That's important to me.,,8.0
Saule,Lithuania,Budget Single Room,1 night ·,April 2023,Solo traveller,Good,"I liked the location of the hotel. I did not try breakfast so cannot comment on that, but there are lots of cafes around.","The check in was extremely slow, they were writing down our names and all the information from our ID cards (including the ID numbers etc. and that was written on some torn random pieces of paper... in 2023!). But what was the most surprising and disturbing, was the attitude of the staff. The hotel freezed the whole amount of the booking 3 days before the arrival from the credit card (it is still there frozen), they additionally asked to pay the same amount upon the arrival and even mocked our remark about double paying for the hotel and noting that it could affect the budget of a person visiting Porto by saying: if you didn't have money you wouldn't be staying at a hotel (!). On the whole the feeling was that we were not treated as quests but as potential cheaters and thieves (they are checking the rooms on the check out, even though they have all our info and still freezed additional amount for the stay). Very disappointed with the service and attitude.",,7.0
Jack,Ireland,Twin Room,3 nights ·,April 2023,Family,Good,It was an excellent location. Right in the center of the city. Great access to anywhere else with busses and Metro. Walking distance even from the waterfront. It was very clean and quirky,,,7.0
Aytan,Azerbaijan,Basic Double Room,2 nights ·,March 2023,Group,Worthy to visit 👌,"I loved the staff who was really supportive and helpful. Location of the hotel was perfect 👌 There was a small Health Cafe, which I do recommend for the vegetarians, you will enjoy their menu 🥑","There was a huge construction works (metro station building) while I have been traveling, so all the streets was full of dust, mess and all the time you are supposed to change your route.",,8.0
Maryjane,Canada,Twin Room,1 night ·,April 2023,Couple,Good moderately priced hotel in convenient location.,staff was excellent,beds were hard,,8.0
Philippe,Germany,Budget Double Room,2 nights ·,April 2023,Solo traveller,Very good,Well located in Porto hills. Convenient with subway nearby,slowwww internet free connection,,8.0
Cesare,Italy,Deluxe Double Room with Balcony,3 nights ·,April 2023,Couple,Very good,Location,Breakfast,,8.0
Welch,United Kingdom,Budget Double Room,1 night ·,April 2023,Solo traveller,Superb,Location. Nice quirky feel. Breakfast OK.,"Nothing, all good.",,9.0
Karen,United Kingdom,Double Room with Terrace,3 nights ·,April 2023,Couple,Great location!,"Location, our terrace room was very spacious and the staff were very friendly and helpful.",,,8.0
Omar,United States,Quadruple Room,3 nights ·,April 2023,Family,Nice centrally located hotel,"Very eclectic hotel with a 50's vibe. Got a huge room for our family of 4 and as it was in the upper floors, it was incredibly quiet considering the central location of the hotel. Because of the location, it was very easy to access all the major attractions of Porto. There are tons of restaurants within walking distance and even a full size supermarket too.","Wifi was very spotty unless you were right next to the router, which was in a little entryway outside of the main room. Service was basic and breakfast was decent, even though the offered bread and pastries seemed old and dry.",,9.0
Rogelio,Portugal,Budget Double Room,4 nights ·,April 2023,Couple,Enjoyable stay,Location is the best and the room was spacious...,It's a bit dark in the room due to the type of lighting used,,8.0
Kenneth,United States,Budget Double Room,2 nights ·,April 2023,Solo traveller,Good,location and nearby parking at reasonable rate,"Smell - Had a very pungent ""cleaning supplies"" smell. Towels - Very thin and were not replaced Check in time rigidly enforced - Arrived about 45 minutes before check in time - About 4 other individual guests were also waiting for room. Instead of checking if any rooms were ready, receptionist said "" check in time is 2! So, when 2 o'clock came, individual did not start checking everyone in until 2;08. Then, everyone had to wait while everyone was being processed. I finally got checked in at 2:25.",,7.0
Judith,Australia,Basic Double Room,2 nights ·,March 2023,Couple,Superb,"friendly ,polite, if the opportunity arises we will definitely be back to this beautiful area",i should have studied the language before travelling. iam sure those lovely people trying to explain must have the patience of job,,9.0
Inci,United Kingdom,Budget Double Room,3 nights ·,April 2023,Couple,Very good,Location,Breakfast,,8.0
Liisa,United States,Budget Double Room,2 nights ·,April 2026,Couple,Quirky respite in Porto,Decent breakfast but the overall quirk of the place def was its charm! View from our balcony was amazing,,,10
Vasilakou,Greece,Budget Double Room,2 nights ·,March 2026,Couple,It didn’t meet my expectations,"The location. Walking distance from the riverside, lime and places to eat/have a drink really nearby","Outside our window there were many air conditions and the noise was constant. Also, in the shower there wasn’t a good quality shampoo and shower gel. Finally, there were no slippers to use them in the room.",,6.0
Lutz,Germany,Budget Double Room,1 night ·,March 2026,Family,Pleasant,"The hotel is centrally located, and the rooms are clean and comfortable.","What bothers me is that the full price is blocked on my credit card in advance, and then I have to pay the full price again with the same credit card at check-in. The blocked amount still hasn't been refunded 10 days after the trip. Bad!",,6.0
Susan,United States,Budget Double Room,1 night ·,March 2026,Couple,Lovely comfortable hotel with amazing staff.,Concierge were so nice and kind and took our bags before we checked in and had them in the room for our arrival!,Nothing,,10
Dominika,Slovakia,Budget Double Room,1 night ·,March 2026,Couple,Exceptional,It was super close to everywhere,,,10
Oliver,Malta,Budget Double Room,3 nights ·,March 2026,Couple,Exceptional,Very nostalgic items around,,,10
Veronica,United States,Triple Room,1 night ·,March 2026,Family,I would go back without a doubt.,"Everything! The room was spacious, it had all of the basics and more. Clean and bright.",No complaints.,,10
Sally-anne,United Kingdom,Budget Double Room,3 nights ·,March 2026,Couple,Porto Perfeito,Fantastic location - close to the centre of Porto. This is a great base from which to explore. The hotel is filled with quirky objects that make you smile every morning before you head to the delicious and ample breakfast. We were in a large room with a terrace which I highly recommend; it was spacious and clean and a perfect spot to relax when the sun is shining. The staff were all friendly and I will definitely return.,,,10
Michelle,Malta,Budget Double Room,2 nights ·,February 2026,Couple,Staff was very friendly . Hotel was clean and confortabile,Very central,Nothing,,10
Olaf,United Kingdom,Budget Single Room,1 night ·,December 2025,Solo traveller,Exceptional,Great hotel and location,Nothing,,10
Ronald,Italy,Triple Room,1 night ·,February 2026,Family,Not memorable.,"The location is good, but that is about it.","Claimed to be a 3-star hotel. Waiting in the queue for the check-in took way too long. Compared to other 3-star hotels I've stayed at around the world, this one was below average. Poor breakfast and not good value for the money, but I don't know if it is a hotel problem or the city.",,5.0
Lorcan,Ireland,Twin Room,3 nights ·,February 2026,Solo traveller,An absolute gem right in the heart of Porto,"Excellent location, kind and friendly staff, beautiful rooms, loved all the retro memorabilia around the hotel",Breakfast was average but ok,,10
Karen,Taiwan,Budget Single Room,1 night ·,February 2026,Solo traveller,Decent for a short stay,Location is great. There’s always staff at front desk.,Facilities are pretty dated. Wifi is not working. Electric kettle is disgusting insides.,,6.0
Darren,United Kingdom,Superior Double Room,3 nights ·,February 2026,Solo traveller,Great hotel for a comfortable stay in Porto,A great location with clean comfortable conditions. Interesting interiors and friendly and efficient staff. The breakfast was very good and enjoyable and the rooms had everything I needed.,Nothing,,10
Ewa,Poland,Basic Double Room,1 night ·,February 2026,Group,Fantastic place,"IT was my second time in the place. The original decoration on coridors is very interesting and funny. The room on 6th floor was fantastic - big, comfortable. The electric pot in the room is very good solution, especially during winter time.",The breakfast starts at 7.30. if you have early fly IT can be a problem to get it . Perhaps hotel can offer another solution?,,10
Zakaria,Morocco,Budget Double Room,1 night ·,February 2026,Couple,Exceptional,"Honestly, nothing special to say. It was good, the staff and everything",Breakfast was a bit boring or lacked variety,,10
Nousheeb,India,Budget Double Room,2 nights ·,January 2026,Couple,Recommented for vintage lovers,Very good staffs especially Clara she is very attentive and helpful. Many thanks to her service at breakfast time .,Old property with too much old stuffs . looks vintage,,6.0
William,United States,King Room,2 nights ·,January 2026,Family,Exceptional,"Didn’t had breakfast at hotel, but heard was not that great. Overall it is a good hotel and excellent location.",,,10
Donlan,United Kingdom,Double Room with Terrace,2 nights ·,January 2026,Couple,My stay at Pao de Acucar Hotel!!!,"Such a lovely, cosy place!!! The room, antique artwork, breakfast, staff, location, cleanliness, the quality & value!!! Absolutely fantastic!!!⭐️⭐️⭐️⭐️⭐️",I can't think of a single thing i didn't like. Everything about the hotel was perfect!!! 👌,,10
Zita2018,Portugal,Triple Room,2 nights ·,December 2025,Family,Pleasant,location,,,6.0
Will,United Kingdom,Budget Double Room,1 night ·,December 2025,Couple,Beautiful hotel,"Very quirky, almost like staying in a museum - we will be coming back again soon!",,,10
Alla,United States,Budget Double Room,1 night ·,January 2026,Couple,Exceptional,"Great location, clean rooms",,,10
Adriano,Brazil,Twin Room,1 night ·,January 2026,Couple,Complete and amazing experience!,"I am astonished by how amazing this place is! The location is perfect, the room is excellent, and the cost benefit ratio is outstanding. Staying there was a complete cultural experience, beautiful rooms that truly felt like a journey back in time.",,,10
Geetu,United States,Triple Room,2 nights ·,January 2026,Group,Fine,,"It was alright, felt more like a hostel.",,5.0
Maria,Portugal,Budget Single Room,1 night ·,January 2026,Solo traveller,Amazing stay! Loved the retro deco and the museum,"I loved the staff, the space and the decoration! On top of that, how clean the bedroom was. That is the main reason I chose this hotel and it did not disappoint.",Some light came through the window and you can hear very clearly people on the corridor.,,10
Jozy,United States,Budget Double Room,3 nights ·,January 2026,Solo traveller,Exceptional,"Location, and staff attitude",Room view,,10
Sivan,United Kingdom,Superior Double Room,3 nights ·,January 2026,Solo traveller,Horrible.,nothing except I had booked for 3 nights and I got a refund for the last 2 nights.,"The room I was in on the 6th floor was cold...I could not sleep or get comfortable in the room...It was less than 18 degrees and I had asthma problems. The a/c unit that pumps out hot air did eventually work but the room did not get any warmer. The ceilings are very high ,The furnishings were dark brown and the whole room was gloomy and depressing. One of the receptionists was trying to be helpful but there was little he could do. I requested an electric fire ...he could not find one. The owner of the hotel was there dressed in an overcoat..The hotel was cold.Only when I got angry did he agree a refund for the following 2 nights. All the old toys only made the hotel feel like a museum..The internet connection was poor. The tap water took ages to get hot.",,1.0
Michaela,Ireland,Basic Double Room,3 nights ·,January 2026,Couple,10/10,Ideal location and friendly staff,Nothing!,,10
Christin,Australia,Budget Double Room,2 nights ·,December 2025,Family,Would book again if I come back to Porto.,"Location was great, very central to many attractions - within walking distance. Public transport was easy to use around the hotel. The hotel was great for my child who loved looking at all the bumper cars and other items from the 'past'.",I was disappointed that I didn't book for longer.,,10
Nayda,United States,Budget Double Room,4 nights ·,November 2025,Couple,will go back,This place is beautiful the decorations are so nice.,,,10
Crowley,Australia,King Room,2 nights ·,November 2025,Couple,Exceptional,"Locality, rooms were big and comfortable, there was plenty for beakfast",Wer weather,,10
Outi,Finland,Budget Double Room,4 nights ·,November 2025,Couple,Lovely hotel at a great location,"The hotel is absolutely delightful with its vintage toys scattered around the place. Staff is very friendly, room was lovely and we really enjoyed the breakfast as well. I can wholeheartedly recommend this hotel.",,,10
Peng,United Kingdom,Budget Single Room,1 night ·,November 2025,Solo traveller,Exceptional,"Location was great, breakfast was excellent with plenty of choice, comfortable room.",No kettle to make hot drinks,,10
Pramukh,Canada,Budget Double Room,1 night ·,November 2025,Couple,Excellent property and reasonable pricing. Highly recommended!,Excellent property with reasonable pricing. Very helpful and friendly staff. Clean and spacious room. Unique character.,There was no bed coffee in room only tea was provided. For a coffee drinker out of the bed it was disappointing. Missing coffee and creamer.,,10
Donlan,United Kingdom,Superior Double Room,4 nights ·,November 2025,Couple,Exceptional,"Staff, breakfast, location & room were all lovely",,,10
Elena,Lithuania,Budget Double Room,4 nights ·,November 2025,Couple,Exceptional,"We were very pleased with the hotel. Everything was simply wonderful! The staff was very helpful, the breakfasts were excellent, and the location was convenient. All the main attractions were within walking distance. The WiFi worked perfectly, no problems at all. Special thanks for the room cleaning. The room was very, very clean, and the towels were changed every day. We recommend this hotel to everyone. If we ever come to Porto again, we will only stay there. Thank you!",there is nothing bad,,10
Gail,Canada,Two-Bedroom Suite,1 night ·,October 2025,Group,Pleasant,"Breakfast was wonderful, location was wonderful. Beds were great and shower was also great. Front desk staff were lovely. Especially appreciated being able to store our luggage for a few hours after checkout. Thank you so much!",,,6.0
Pavel,Slovenia,Family Suite,3 nights ·,October 2025,Family,Exceptional,Top location. Very nice design of the hotel👍 Good breakfast! Helpful personnel!,,,10
Helen,United Kingdom,Superior Double Room,3 nights ·,October 2025,Couple,A beautiful and luxurious art deco hotel complete with a quirky collection of 1950/60s artifacts!,"Perfect central location, walking distance from everything we wanted to see and lots of good restaurants nearby",Nothing,,10
Denise,United States,King Room,6 nights ·,October 2025,Couple,Perfect central location for a week in Porto,Pao de Acucar Hotel met all my expectations. It's in a prime central location with easy access to all of Porto's charms. It is eclectic with it's collection of vintage toys spread throughout the hotel. Check in was easy. We booked a suite and the room was huge and quiet even though we were on the main street. The bed was comfortable. Breakfast had plenty of selections and was worth the cost. FYI they make you a breakfast time slot so that the room doesn't get over crowded. There are tons of restaurants/cafes within steps of the hotel. There is a main square a few blocks away and the waterfront is about 1 mile walk. If you don't mind walking hills almost anything in Porto is accessible by foot. I would stay here again no question.,This is less of a dislike and more of a we should have asked for better directions before arriving. The hotel is located on a narrow one way street and there is really no place to park and check in. They do have an affiliation with a garage that is about a block away. It would be beneficial to have the location of the garage first if arriving by car.,,10
Lisa,United States,Budget Double Room,4 nights ·,October 2025,Group,"Great hotel at a very good price in the perfect location, walking distance to the metro!",The location was perfect! The roof top bar was a grearr place to end our day.,,,10
Axel,Austria,Superior Double Room,4 nights ·,October 2025,Solo traveller,"Genuinely friendly staff, perfect location & original atmosphere","The hotel feels like a «museum» for all kinds of mid-20th-century machinery, from bumper cars to petrol pumps to robot sculptures, typewriters, portable TVs etc. Part of its charm is derived from this sense of time travel... The location is perfect to explore Porto on foot, and there's a garage just 50 meters down the street (hotel rate: €24/day). The staff are genuinely friendly, welcoming and always ready to help in every possible way. The room was spacious, spotless, with a comfortable bed, and a douche à l'Italienne. There's a bar on the 6th floor with a beautiful terrace overlooking Porto's rooftops.",,,10
Jefferies,United Kingdom,Budget Double Room,4 nights ·,October 2025,Couple,"Excellent place to stay, highly recommend for anyone who visits Porto and wants to be in the centre.","Fantastic location, excellent staff, clean room, breakfast was excellent and the staff very friendly, really you could not ask for more. Just walk out of the hotel front door and you will hit an abundance of choice for restaurants. We enjoyed the hotel and the area very much.",The only thing was the plastic sheet that was under the bedding. Makes the bed a bit hot and you could feel it. Room was clean and well maintained and the staff at this hotel are friendly and helpful.,,10
Habib,Germany,Budget Double Room,4 nights ·,August 2025,Group,Exceptional,Host was super flexible with arrival times and very open and friendly. He gave us good recommendations for food and interesting places,,,10
Greg,Australia,Budget Double Room,3 nights ·,October 2025,Couple,"Loved our stay in Porto, would highly recommend Poa de Acucar Hotel","The staff, location roof top bar",Nothing,,10
Roos,Netherlands,Budget Single Room,1 night ·,October 2025,Solo traveller,Poor,Location was great,"Room was very small and not cleaned. Garage and winegums on the floor upon arrival. Shower was leaking, air conditioning made a lot of noise. Electrical wiring looked really dodgy. The bed was way to small.",,3.0
Min,Germany,Triple Room,1 night ·,October 2025,Family,Exceptional,"Good facilities, unique atmosphere, friendly staff. It is located in good place to walk around.",No.,,10
Peter,United Kingdom,Twin Room,4 nights ·,October 2025,Group,Old bumper car hotel,"It prides itself on old bumper cars which are located around the hotel along with quite a few old memorabilia items, very interesting.",Some parts look a bit dated but that was all part of the experience.,,10
Isabella,Austria,Budget Double Room,7 nights ·,September 2025,Couple,There are better choices for central Porto,"Good location, very central, you can get everywhere on foot. The rooms facing the courtyard are quieter (no traffic noise).","The hotel is old and in need of renovation. The memorabilia is nice but makes the hotel smell weird. The mattress was extremely hard, my husband got a terrible backache after a week. No coffee in the room, just tea. A coffee machine close to reception but they didn't have any change. They accused us of smoking in the room, which is really absurd as we have never smoked in our life - apparently the cleaning lady got the room numbers mixed up ... The room was not always well cleaned, some hairs remained in a corner the whole week",,6.0
Daria,United Kingdom,Budget Single Room,3 nights ·,September 2025,Solo traveller,Pleasant,"Location was perfect, easy to walk everywhere","Facilities are quite old, noise isolation could be better- could hear people in corridor and next room. No iron in the room/ no option to borrow one",,6.0
Andrew,United Kingdom,Basic Double Room,3 nights ·,September 2025,Couple,"Good location, awful bed","Location was great, and staff were friendly and helpful.",Probably one of the most uncomfortable beds I’ve ever had to try to sleep on.,,4.0
James,United Kingdom,Twin Room,6 nights ·,September 2025,Couple,"Strongly recommended: central, quiet; high quality of service from friendly staff.","Exceptionally generous help-yourself breakfast: fresh fruit, cereals, buns, cakes, cooked; coffee, teas, hot chocolate",Nothing to improve: it was perfect,,10
Ann,United States,Budget Double Room,5 nights ·,September 2025,Couple,We came away with good feelings about Porto…and have been raving to our friends!,"I loved the art deco decorations! Breakfast was good, and staff were universally friendly and efficient. The location was great….close to restaurants and coffee shops….",,,10
Kaitlin,United States,Twin Room,4 nights ·,September 2025,Group,"Fun, easy, comfortable. A great way to spend time in Porto.",Loved the balcony. Double bed room Was great- having two bathrooms was really lovely.,Laundry pricing was per item which I felt was a bit expensive.,,10
Olena,Ukraine,Budget Double Room,1 night ·,September 2025,Couple,Exceptional,Interior and venue,Everythung was good,,10
Salma,Egypt,Budget Single Room,7 nights ·,September 2025,Solo traveller,Exceptional,The room was very clean and the receptionist were very kind and helpful. Totally recommend it,The air conditioning was really old but I used it only for a day and then the weather was a bit cold. There is a no net on the windows so I has to close the window at night,,10
Öykü,Turkey,Twin Room,3 nights ·,August 2025,Group,Uncomfortable and noisy,The location is really nice.,"First of all, the bed is quite uncomfortable. The room is quite old unlike the pictures. There was a constant bad smell coming from the toilet. But our main problem was the noise. The walls are TOO thin. I could hear when the person next room flushed the toilet or stepped inside their room.",,5.0
Fifi28,France,Basic Double Room,7 nights ·,August 2025,Group,Excellent hotel at calm central address,Hotel was very quiet and comfortable as well as impeccably clean. Breakfast buffet had good choice and everything was plentiful. The multi-lingual staff were very helpful and friendly. The hotel is very well situated to easily access the city center and has many restaurants within very close distance. Our requests for rooms together and bed types were all taken into account. Very good value for money.,Would be good to have a breakfast option before 7h30 for guests getting early flights.,,10
O'connell,Ireland,Budget Double Room,3 nights ·,July 2025,Couple,Exceptional,The friendly and very helpful staff. The quickness and the intimacy of the accommodation were second to none. Close to the centre and other amenities. We highly recommend this hotel.,,,10
Paresh,Australia,Budget Single Room,2 nights ·,July 2025,Solo traveller,It would be my last resort I’m sure there’s better options,All the novelty items on display,Felt a little old and the strange set up with the shower and the bed was average compared to other places I’ve stayed in Portugal.,,5.0
Laura,United States,King Room,2 nights ·,August 2025,Couple,Lovely place to stay!,"Nice location, fun decorations, lovely rooftop bar. Nice staff! Great stay",,,10
Cristina,Spain,Twin Room,2 nights ·,August 2025,Family,Exceptional,Amazing location and cool decoration!,,,10
Najara,Brazil,Budget Single Room,2 nights ·,August 2025,Solo traveller,Great stay in Porto!,"Perfect location at a walking distance to most attractions in town. Comfortable en suite bedroom, great shower, helpful staff and great restaurants nearby.",I couldn’t complain about anything in particular,,10
Roman,United States,Budget Double Room,1 night ·,May 2025,Couple,Ok stay,"Location was ok, walking distance to most places",Outside noise! We were on the 5th floor and the street noise from the Friday night crowds was very loud until 5 am.,,6.0
João,Portugal,Twin Room,1 night ·,August 2025,Group,Exceptional,Simpatia dos empregados e aspecto do Hotel no interior,,,10
Ian,United Kingdom,Budget Double Room,2 nights ·,July 2025,Couple,Not Impressed with amenities and staff at reception were rude.,"Property is not easily accessed by vehicle, I attended on motorcycle and traffic and location is terrible","The property had taken a 104.00 deposit and I still had to pay the full amount on arrival with the deposit still to be paid back to my account. Pending ??? This was not explained property when booking. The garage facility is not owned by the property and is independent which you have to pay separately bike cost 24.00 per day. Be aware as this can prove costly when staying at this hotel either by car or motorcycle, again this is not explained clearly when booking as it states garage facility available ???????",,6.0
George,United Kingdom,Basic Double Room,3 nights ·,July 2025,Couple,Very enjoyable would recommend to anyone,"Friendly,helpful,happy staff and the quirkiness of the surroundings",Liked everything,,10
Mohsen,Belgium,Budget Double Room,2 nights ·,July 2025,Solo traveller,dont go there unless you dont have any other choice,Location was good,"The hotel was very old, eventhough they try to clean it but still everything is so overused like floor, walls, curtains, even airconditioner was making a lot of noise to work. very old blankets from world war 2. I was coughing all time when I was sleeping",,4.0
Tugce,Turkey,Budget Single Room,1 night ·,July 2025,Solo traveller,Pleasant,It was central and had very clean room. Staff was nice as well.,"I was in a single room. It was so tiny. Also bed was not that comfortable. Outside, hallway noise was easy to hear.",,6.0
Paul,United States,Family Suite,3 nights ·,July 2025,Family,"Comfortable, clean large rooms with a great location and staff.",Staff is really friendly. Room was much bigger than expected. Location is really convenient.,,,10
Vedran,Croatia,Budget Single Room,6 nights ·,July 2025,Solo traveller,Wonderful hotel in a great location,"The hotel is in a great location - most attractions are within walking distance, and for everything else, there's a metro station and several bus stops very close to the hotel. The staff was very friendly, they put me in a better room than the one I had booked. The reception and hallways are decorated in a very original and fun way, and there is a cozy bar on the top floor if you want to have a drink before bed.",N/A,,10
Anahit,Canada,Twin Room,1 night ·,July 2025,Group,"Great location, fun Pop-Art museum-like hotel, helpful staff","The staff in the hotel were super-helpful and customer oriented. When I was booking this hotel, I did not know that I will be staying in a place that could, literally, compete with any POP-art museum! What an added bonus.",The only suggestion I would have - just be a bit more responsive in email communication.,,10
Silva,Canada,Family Suite,1 night ·,July 2025,Group,Exceptional,Front staff were desk were exceptional. The place was clean Location is perfect!,Thr beds could be better. A bit stiff.,,10
Müge,Germany,Budget Double Room,3 nights ·,June 2025,Couple,Disappointment,The vintage decoration was nice.,We found our cosmetic bag put into the bidet by the cleaning personnel!!!! This is unacceptable. It was disgusting. We didn't trust to the hotel after the first day and asked them not to send anyone for cleaning.,,1.0
Willis,United Kingdom,Budget Double Room,2 nights ·,June 2025,Couple,Quirky but great.,"Quirky hotel that gets the main things spot on. Nice staff, big beds and large rooms.",Nothing,,10
Catherine,United Kingdom,Basic Double Room,2 nights ·,June 2025,Couple,Great place to stay in middle in city.,"Fun interiors, the rooms were much more modern and comfortable, although the bed was a little hard for my taste but that’s a personal thing.",The breakfast was a little haphazard.,,10
Lisa,United Kingdom,Budget Double Room,3 nights ·,June 2025,Couple,Exceptional,"Great price, very clean, air conditioned, close to many main attractions.",Bed very hard and pillows very thin.,,10
Ruth,Ireland,Twin Room,3 nights ·,April 2025,Couple,"great location , very friendly staff.","location was perfect, in the centre of porto near to everything. Breakfast was one of the nicest i ever had.",,,10
Almut,Ireland,Basic Double Room,1 night ·,June 2025,Group,Unusual gem,"Very central location, close to metro, yet rooms to back were quiete. Great hot and cold breakfast choice, terrace with view, an impressive old building, quirkily decorated with many memorabilia from the sixties, very friendly english speaking staff. Our twin room and bathroom were very spacious, great shower with super pressure, bidet, minibar, kettle, everything was spotless.",,,10
Hilarie,United Kingdom,Two-Bedroom Suite,3 nights ·,May 2025,Family,Quirky hotel closeto amenities,The photos of this quirky hotel are only half the story! It is fantastic. Lots of memorabilia & talking points a plenty Helpful staff. Rooftop evening bar. Short walk to metro & station Porto is a gem,Nothing,,10
Hania,United States,Basic Double Room,3 nights ·,June 2025,Couple,Passable,The vintage style,"no coffee in the bedroom no outside the bedroom (you need coins to get coffee from a machine in the lobby), no iron provided. they only provide ironing service done by their staff which is not available all the time.",,5.0
Rezende,United States,Quadruple Room,1 night ·,June 2025,Family,Exceptional,"Location, great decor",,,10
Joanne,United Kingdom,Budget Double Room,3 nights ·,June 2025,Couple,Very enjoyable first visit to Porto... would stay there again.,"The hotel was very well located for exploring Porto and was easy to get to via public transport. The interior of the hotel was a mix of quirky and elegant, and the staff were all very friendly and efficient. Overall a very enjoyable stay.",Nothing... every aspect of our stay was well catered for.,,10
Ayhan,United States,Twin Room,3 nights ·,May 2025,Couple,Bad,Everything,Everything,,1.0
María,Spain,Budget Single Room,3 nights ·,June 2025,Solo traveller,Exceptional,Very friendly staff.,All was fine,,10
Amy,Ireland,Basic Double Room,4 nights ·,June 2025,Couple,Exceptional,"great hotel , beds comfy, aircon working good - very stylish and interesting hotel - staff very friendly and excellent location",nothing,,10
Martina,United Kingdom,Budget Single Room,2 nights ·,June 2025,Solo traveller,I had a great time.,"Food was lovely,location great. I will go back.",All was very good indeed.,,10
Elio,Netherlands,Budget Double Room,3 nights ·,May 2025,Couple,"Great people, great hotel in a great location","People were super kind, the location great as well as the breakfast. And the interior of the hotel interesting and original","If I really need to find something bad, maybe the 30 min times lot for breakfast and the fact that you always need to give and get the keys when you leave/enter the hotel.",,10
Masoud,United States,Budget Double Room,4 nights ·,May 2025,Couple,Very poor,"It was ok for a few nights but do I book this hotel again, NO","The noise from outside, specifically the garbage collection station which located right under my window.",,2.0
Glenda,United Kingdom,Twin Room,3 nights ·,May 2025,Couple,Excellent base for exploring Porto.,"Great location but in a quiet street. Car park very close. Comfortable, spacious room. Public areas furnished with quirky, interesting artefacts.",The property more than met expectations !,,10
Noel,Ireland,Twin Room,3 nights ·,May 2025,Group,Pleasant,"Great location, very clean, friendly helpful staff","Very dated. Apart from breakfast room, and a rooftop terrace there were no other facilities. No bar, no Resturant. Room was very basic and functional but very clean.",,6.0
Marisa,Portugal,Budget Single Room,1 night ·,April 2025,Solo traveller,Good value for money,Stayed for one night and it was really nice and clean. Staff super professional and nothing to complain about.,,,10
Michelle,United Kingdom,Budget Double Room,3 nights ·,May 2025,Couple,Exceptional,"Wonderful hotel well-situated, lovely friendly helpful staff...breakfast was great...",,,10
Don,United Kingdom,Basic Double Room,4 nights ·,May 2025,Couple,Exceptional,"Lovely staff, so cheerful, helpful. Excellent location and great, quirky decor.",Nothing,,10
Shirley,United Kingdom,Twin Room,4 nights ·,April 2025,Group,Brilliant,Centre Staff very good,None,,10
Nihal,Morocco,Budget Single Room,1 night ·,May 2025,Solo traveller,I will come again for sure 🥰 perfect place 🥰,Everything’s perfect !!!!,,,10
Matthew,United States,Budget Double Room,3 nights ·,May 2025,Couple,Exceptional,Great location,,,10
Michelle,United States,Budget Double Room,2 nights ·,May 2025,Couple,Pleasant,"Location was good, room seemed to be clean and the shower was large.",Bed was uncomfortable and room was extremely small.,,6.0
Claire,Ireland,Budget Double Room,3 nights ·,May 2025,Couple,Lovely stay in Porto,Great location walking distance from most attractions and very clean the bathroom was a good size and a good shower. Staff were friendly and helpful. Really liked the hotel decor.,,,10
Marcia,United States,Budget Double Room,2 nights ·,May 2025,Couple,Exceptional,"Fun atmosphere, kind and helpful staff, Great location close to everything.",,,10
Rui,United States,Budget Single Room,2 nights ·,May 2025,Solo traveller,Hotel with great profissionals and they did everything for me to feel comfortable and acomodate a couple things that I n,Great location and great hotel.,N/A,,10
Fatima,Canada,Twin Room,2 nights ·,April 2025,Couple,Loved our stay at Pao de Sucre.,Great location. Clean property and friendly staff.,"We love the location and the building. Such a beautiful building, and the rooms are clean.",,10
Andrea,Italy,Budget Double Room,1 night ·,April 2025,Couple,Cool place on Porto,"The decorations are beautiful, good location, good value for money, good breakfast.",,,10
Kristof,Switzerland,Single Room,1 night ·,April 2025,Solo traveller,Very poor,,"Depressive dark and small room without proper window to look outside, it should be forbidden to sell such cellars. Slots for the breakfast, classic key to the room which has to be deposited in the reception when leaving the hotel. No facilities at all in the room, just a minibar. Avoid it.",,2.0
Christoph,Switzerland,Twin Room,3 nights ·,April 2025,Family,Disappointed about Check-In,- Breakfast was nice - Staff organizing the breakfast was very attentive and friendly - Room was spaceous,"- Bad rate: I asked at the staff at the check-in to pay in EUR but they made me pay in foreign currency. I asked to change but it was ""too late"". - Room key needs to be returned when you leave the hotel.",,4.0
