name,country,room_type,nr_nights,date,traveler_type,title_review,pos_review,neg_review,score,date_parsed,year,month,full_review_text,review_language,sentiment
Navi,Sweden,Budget Double Room,1,January 2024,Couple,Good,In middle of the city.,"They don’t have own parking, but have a collaboration with a third party parking garage which still costs around 24 Euros for one day.",7.0,2024-01,2024,1,"In middle of the city. They don’t have own parking, but have a collaboration with a third party parking garage which still costs around 24 Euros for one day.",en,neutral
Lucas,Brazil,Budget Double Room,4,January 2024,Couple,Superb,"Great stay in general, recommended.","Room can be a bit noisy depending on your neighbours. Breakfast could be better. During one night electricity went out in the middle of the night and an alarm and emergency light turned on inside the room, waking us up. There was no way to turn it off and the personnel wasn't there to tell us what was happening. Luckily they fixed it after a while but it could have been managed better.",9.0,2024-01,2024,1,"Great stay in general, recommended. Room can be a bit noisy depending on your neighbours. Breakfast could be better. During one night electricity went out in the middle of the night and an alarm and emergency light turned on inside the room, waking us up. There was no way to turn it off and the personnel wasn't there to tell us what was happening. Luckily they fixed it after a while but it could have been managed better.",en,positive
Brett,United Kingdom,Basic Double Room,3,January 2024,Couple,Would highly recommend - it was the perfect place to explore the city from.,"Great location, huge very clean room and friendly staff.","No coffee in room, just selection of teas.",8.0,2024-01,2024,1,"Great location, huge very clean room and friendly staff. No coffee in room, just selection of teas.",en,positive
Brendan,Canada,Budget Double Room,1,January 2024,Couple,Location is perfect the small rooms are very small but the 2nd night we had an upgrade to a larger room with a king bed,Location,The first night we had booked a small room but didn’t realize how small it actually was,9.0,2024-01,2024,1,Location The first night we had booked a small room but didn’t realize how small it actually was,en,positive
Julien,New Zealand,King Room,2,December 2023,Couple,Good,The room size (super king) was great and plenty of room,"Decor if hotel, although different, very cluttered. Breakfast was basic",7.0,2023-12,2023,12,"The room size (super king) was great and plenty of room Decor if hotel, although different, very cluttered. Breakfast was basic",en,neutral
Andrealu,Italy,Budget Double Room,3,December 2023,Couple,Superb,"Very close to the city center, beautiful furniture, beautiful room, staff extremely kind and available",,9.0,2023-12,2023,12,"Very close to the city center, beautiful furniture, beautiful room, staff extremely kind and available",en,positive
Nicholas,Canada,Superior Double Room,3,November 2023,Couple,Superb,"The location was great and the staff were friendly. The room was very nice, although the building is a little older. Would definitely stay here again!",,9.0,2023-11,2023,11,"The location was great and the staff were friendly. The room was very nice, although the building is a little older. Would definitely stay here again!",en,positive
Στέλλα,Cyprus,Budget Single Room,2,December 2023,Solo traveller,Very good,"The staff at the reception was very friendly, kind and helpful.",,8.0,2023-12,2023,12,"The staff at the reception was very friendly, kind and helpful.",en,positive
Jose,Spain,Budget Double Room,3,December 2023,Couple,Great Choice!,"Perfect room super clean looked new, bathroom like new, big TV air conditioning, kettle, mini fridge, and spacious enough. Best location, 5 mins walk to everywhere...","I liked everything, including the classic retro style of the hotel,",8.0,2023-12,2023,12,"Perfect room super clean looked new, bathroom like new, big TV air conditioning, kettle, mini fridge, and spacious enough. Best location, 5 mins walk to everywhere... I liked everything, including the classic retro style of the hotel,",en,positive
Colum,United Kingdom,Budget Double Room,4,December 2023,Couple,Great location,Fantastic location. Brilliant sized room,Not really anything to complain about,9.0,2023-12,2023,12,Fantastic location. Brilliant sized room Not really anything to complain about,en,positive
Minyeong,South Korea,Budget Double Room,3,December 2023,Solo traveller,Great locatio,"Its location is really good and the staff were kind as well. Amenities were not bad cause I prefer solid soap and separate hair shampoo, and they provide them. There is a rooftop on the 6th floor, and you can spend time there enjoying wines or something else.",The key to the room is not an electric card but an analog key. So you need to keep it to the reception whenever you go out.,7.0,2023-12,2023,12,"Its location is really good and the staff were kind as well. Amenities were not bad cause I prefer solid soap and separate hair shampoo, and they provide them. There is a rooftop on the 6th floor, and you can spend time there enjoying wines or something else. The key to the room is not an electric card but an analog key. So you need to keep it to the reception whenever you go out.",en,neutral
Senija,Bosnia And Herzegovina,Superior Double Room,1,November 2023,Family,Very good,Great location. Very friendly and approachable reception desk staff.,"WiFi is basically not working. It is unstabnle, unreliable, and slow at best, which is not clearly communicated by the staff. In case you plan any online meeting, don't count on it.",8.0,2023-11,2023,11,"Great location. Very friendly and approachable reception desk staff. WiFi is basically not working. It is unstabnle, unreliable, and slow at best, which is not clearly communicated by the staff. In case you plan any online meeting, don't count on it.",en,positive
Angela,Italy,Twin Room,3,December 2023,Group,Superb,"perfect location close to the metro. Our room on the 4th floor was bigger than expected, and very quite , which was a nice surprise. Good breakfast","the hotel is a little dated , but clean",9.0,2023-12,2023,12,"perfect location close to the metro. Our room on the 4th floor was bigger than expected, and very quite , which was a nice surprise. Good breakfast the hotel is a little dated , but clean",en,positive
David,Ireland,Budget Double Room,3,December 2023,Couple,Superb,"Location, staff and quirky design touches are all excellent",No bar. Advertised with a roof top bar but only open in the summer 9.00 - 12.00pm,9.0,2023-12,2023,12,"Location, staff and quirky design touches are all excellent No bar. Advertised with a roof top bar but only open in the summer 9.00 - 12.00pm",en,positive
Gary,United States,Basic Double Room,2,November 2023,Couple,Would stay here again. The staff was great to interact with. Charming hotel.,"Great room and staff. The room was spacious, and it was the only room on our two-week trip with a large bed. Breakfast was simple, hot and delicious.","Bring your own internet. Constantly dropping. Made it hard to plan the day/travel. We turned our phones off for two weeks and did everything WiFi. This is not the fault of the hotel, but there are a couple manhole covers on the adjacent street below the room that would explode every time a car drove over them.",8.0,2023-11,2023,11,"Great room and staff. The room was spacious, and it was the only room on our two-week trip with a large bed. Breakfast was simple, hot and delicious. Bring your own internet. Constantly dropping. Made it hard to plan the day/travel. We turned our phones off for two weeks and did everything WiFi. This is not the fault of the hotel, but there are a couple manhole covers on the adjacent street below the room that would explode every time a car drove over them.",en,positive
George,United Kingdom,Budget Single Room,1,December 2023,Solo traveller,Good,"Good location, friendly staff","Not too clean, felt too old",7.0,2023-12,2023,12,"Good location, friendly staff Not too clean, felt too old",en,neutral
Lija,Slovenia,Budget Double Room,1,November 2023,Couple,"Amazing central location, big comfortable room","The room was spacious, clean and comfortable. The location is amazing and the staff was very friendly and kind.",,9.0,2023-11,2023,11,"The room was spacious, clean and comfortable. The location is amazing and the staff was very friendly and kind.",en,positive
Matilde,Portugal,Two-Bedroom Suite,2,December 2023,Family,Excellent location bhr,Excellent location,In my opinion a Hotel with 3 stars should already have an electronic card to enter in the room so you don’t need to leave your keys all the time in the reception. The cleaning in the morning after our first night wasn’t very good. The toilet seat was broken and no one ever fixed it. I didn’t like the part that I had to choose a time slot for my breakfast.,7.0,2023-12,2023,12,Excellent location In my opinion a Hotel with 3 stars should already have an electronic card to enter in the room so you don’t need to leave your keys all the time in the reception. The cleaning in the morning after our first night wasn’t very good. The toilet seat was broken and no one ever fixed it. I didn’t like the part that I had to choose a time slot for my breakfast.,en,neutral
Paulo,Portugal,Budget Single Room,2,December 2023,Solo traveller,Very good,The location,the shower had low pressure,8.0,2023-12,2023,12,The location the shower had low pressure,en,positive
Hubert,Poland,Basic Double Room,2,November 2023,Couple,Good,"Hotel have very cool design with all that bumper cars and lights on corridors. Buffet brakefast with fresh bread, fruits and good coffee are an advantage of the hotel. Location near metro station was also a good thing.",,7.0,2023-11,2023,11,"Hotel have very cool design with all that bumper cars and lights on corridors. Buffet brakefast with fresh bread, fruits and good coffee are an advantage of the hotel. Location near metro station was also a good thing.",en,neutral
Saverio,Belgium,Budget Single Room,2,November 2023,Solo traveller,Superb,"My rating is 9/10. Really beautiful and my single room, even if was small, was full and nice equipped",Internet unfortunately was too much unstable. Fortunately i had my data's.,9.0,2023-11,2023,11,"My rating is 9/10. Really beautiful and my single room, even if was small, was full and nice equipped Internet unfortunately was too much unstable. Fortunately i had my data's.",en,positive
Philecia,Portugal,Single Room,1,November 2023,Solo traveller,Good,Location was great Good views from the room Quirky and memorable display items,Turning in my key upon leaving Lack of privacy on terrace Wifi unavailable in room Lack of decor in room Size of room - small,7.0,2023-11,2023,11,Location was great Good views from the room Quirky and memorable display items Turning in my key upon leaving Lack of privacy on terrace Wifi unavailable in room Lack of decor in room Size of room - small,en,neutral
Lutzibert,Germany,Budget Single Room,3,November 2023,Solo traveller,"Central, clean an friendly staff","Good location, very central. Aliados Metro station nearby. One can also walk to Sao Bento or Trindate Metro Station. Spacious room, all necessities available. Very friendly and helpful staff.","Wifi didn't work most of the time. Breakfast was not good. For 8 Euros one can eat better in one of the many cafes in the city. Just one coffee machine, one selection of cheese and ham, eggs not good, sausage not eatable.",7.0,2023-11,2023,11,"Good location, very central. Aliados Metro station nearby. One can also walk to Sao Bento or Trindate Metro Station. Spacious room, all necessities available. Very friendly and helpful staff. Wifi didn't work most of the time. Breakfast was not good. For 8 Euros one can eat better in one of the many cafes in the city. Just one coffee machine, one selection of cheese and ham, eggs not good, sausage not eatable.",en,neutral
Bruna,Ireland,Triple Room,3,November 2023,Family,My stay was perfect!,"Great location, spacious room and very clean. Beds were made everyday and towels changed. Friendly staff, especially at breakfast time.",,8.0,2023-11,2023,11,"Great location, spacious room and very clean. Beds were made everyday and towels changed. Friendly staff, especially at breakfast time.",en,positive
Gillian,United Kingdom,Budget Double Room,3,November 2023,Couple,Good,"The quirky objects were great, lovely staff and the breakfast was fine.",The wifi wasnt working at all which was very disappointing 😒.,7.0,2023-11,2023,11,"The quirky objects were great, lovely staff and the breakfast was fine. The wifi wasnt working at all which was very disappointing 😒.",en,neutral
Ron,Australia,Budget Single Room,5,October 2023,Solo traveller,A nice hotel with very friendly staff close to the Douro River and historic sights of Porto.,The location was very good. Breakfast was nice with variety of food. Room was a tad small but appreciated the small/showerbathroom which was nicely tiled in white with excellent lighting. Property was very clean and enjoyed the museum pieces displayed on each floor. Staff were very helpful and pleasant. Nothing was too much trouble to assist.,"I had been in Lisbon in a nice comfortable refurbished hotel room close to the old Lisbon. My room in Acucar Hotel was fine , comfortable and very clean but quite old except for the lovely refurbished shower/bathroom.",8.0,2023-10,2023,10,"The location was very good. Breakfast was nice with variety of food. Room was a tad small but appreciated the small/showerbathroom which was nicely tiled in white with excellent lighting. Property was very clean and enjoyed the museum pieces displayed on each floor. Staff were very helpful and pleasant. Nothing was too much trouble to assist. I had been in Lisbon in a nice comfortable refurbished hotel room close to the old Lisbon. My room in Acucar Hotel was fine , comfortable and very clean but quite old except for the lovely refurbished shower/bathroom.",en,positive
Jason,United Kingdom,Budget Single Room,3,October 2023,Solo traveller,Centrally located hotel close to restaurants and all the excellent sites,The breakfast was not the good but the hotel location and the helpfulness and friendliness of the staff made my stay at Pao de Acucar Hotel worthwhile,Nothing major but I think there could have been a priceless in the room for the chocolate and port in the room.,9.0,2023-10,2023,10,The breakfast was not the good but the hotel location and the helpfulness and friendliness of the staff made my stay at Pao de Acucar Hotel worthwhile Nothing major but I think there could have been a priceless in the room for the chocolate and port in the room.,en,positive
Anastasia,Russia,Budget Double Room,5,November 2023,Couple,Good place for a short stay in the amazing location,"Very nice location of the hotel. All the sightseeing are very close, so you can easily reach them by walking. Lovely retro ambiance in the hotel itself.",Very uncomfortable bed. Bad sound isolation. You can hear everything that happens in the hallway.,8.0,2023-11,2023,11,"Very nice location of the hotel. All the sightseeing are very close, so you can easily reach them by walking. Lovely retro ambiance in the hotel itself. Very uncomfortable bed. Bad sound isolation. You can hear everything that happens in the hallway.",en,positive
Facciolla,United States,Budget Double Room,2,November 2023,Family,"Great location, clean room, and unique hotel experience.","Truly a great location. The budget room was OK for my adult daughter and myself with the two twin beds. The room was clean and in good condition. We mainly dealt with one lady at the front desk, and she was very friendly, personable and professional. However, the other three people that we interacted with were none of the above.","I did not like that we had to turn our one key in every time we left the hotel. When we came back on the second day, there was a gentleman at the front desk that we had never seen before. He simply just handed us the key and didn’t ask for ID or anything.",9.0,2023-11,2023,11,"Truly a great location. The budget room was OK for my adult daughter and myself with the two twin beds. The room was clean and in good condition. We mainly dealt with one lady at the front desk, and she was very friendly, personable and professional. However, the other three people that we interacted with were none of the above. I did not like that we had to turn our one key in every time we left the hotel. When we came back on the second day, there was a gentleman at the front desk that we had never seen before. He simply just handed us the key and didn’t ask for ID or anything.",en,positive
Xiaoyan,United States,Twin Room,2,November 2023,Group,Superb,"We booked two single beds room and was on the top floor. Surprisingly with balcony access , very Nice two single beds setup, beds opposite each other , every thing is x2 even bathroom x2 .","Hair dryers are very old , doesn’t work at all.",9.0,2023-11,2023,11,"We booked two single beds room and was on the top floor. Surprisingly with balcony access , very Nice two single beds setup, beds opposite each other , every thing is x2 even bathroom x2 . Hair dryers are very old , doesn’t work at all.",en,positive
Marek,Poland,Budget Double Room,2,November 2023,Couple,would totally recommend!,"a REALLY unique hotel! it has its own specific vibe, like no other else :) great spacious room, fair room-bar prices","the only downside is the proximity of the street with regular traffic. I won't lie, you can hear the noises and I would recommend taking earplugs for more sensitive people :)",9.0,2023-11,2023,11,"a REALLY unique hotel! it has its own specific vibe, like no other else :) great spacious room, fair room-bar prices the only downside is the proximity of the street with regular traffic. I won't lie, you can hear the noises and I would recommend taking earplugs for more sensitive people :)",en,positive
Mark,Portugal,Family Suite,1,November 2023,Family,Very good,,beds not very comfortable; could be a fantastic hotel with a design update,8.0,2023-11,2023,11,beds not very comfortable; could be a fantastic hotel with a design update,en,positive
Nasir,Canada,Budget Double Room,3,October 2023,Couple,An excellent place to stay in the heart of Porto city.,"24 hours English-speaking reception, next to Subway/Metro, in the heart of the old city, walkable to most attractions. The front door was locked late at night for better security.",Iron board and iron were not provided to press the clothes. We had to return the key to the front desk every time we stepped out and ask for it again on return. This was the practice 30 years ago but it is not anymore.,9.0,2023-10,2023,10,"24 hours English-speaking reception, next to Subway/Metro, in the heart of the old city, walkable to most attractions. The front door was locked late at night for better security. Iron board and iron were not provided to press the clothes. We had to return the key to the front desk every time we stepped out and ask for it again on return. This was the practice 30 years ago but it is not anymore.",en,positive
Dawn,Portugal,Triple Room,2,October 2023,Solo traveller,Great central place to stay! Extremely picturesque with a nice rooftop lounge. Friendly staff!,"Location excellent, infinitely walkable and navigable, even though it turned out my phone plan didn't work in Portugal. But even I could walk pretty much everywhere!","The beds really need upgrading. I've had worse, but...",8.0,2023-10,2023,10,"Location excellent, infinitely walkable and navigable, even though it turned out my phone plan didn't work in Portugal. But even I could walk pretty much everywhere! The beds really need upgrading. I've had worse, but...",en,positive
Sean,United Kingdom,Budget Double Room,3,October 2023,Solo traveller,So handy for central Porto.,"When I checked in I was told my room had been upgraded free of charge to a king sized bed. The staff were really friendly with perfect English, French and Spanish! I slept well here and the room was literally bigger than some London apartments.","In all the facilities in this very quirky hotel are a little bit dated and were in need of some refurbishment, think keys for doors instead of cards, but also quirky furniture with a unique feel.",8.0,2023-10,2023,10,"When I checked in I was told my room had been upgraded free of charge to a king sized bed. The staff were really friendly with perfect English, French and Spanish! I slept well here and the room was literally bigger than some London apartments. In all the facilities in this very quirky hotel are a little bit dated and were in need of some refurbishment, think keys for doors instead of cards, but also quirky furniture with a unique feel.",en,positive
William,Canada,Basic Double Room,3,October 2023,Couple,Enjoyable,Great location. Room was large and comfortable. Breakfast was good.,No outdoor space. Bathroom needs to be cleaner,8.0,2023-10,2023,10,Great location. Room was large and comfortable. Breakfast was good. No outdoor space. Bathroom needs to be cleaner,en,positive
John,Ireland,Budget Single Room,3,October 2023,Group,excellent location and very enjoyable breakfast,Room was very small but it was suitable for a single person with a price to match,no bar,8.0,2023-10,2023,10,Room was very small but it was suitable for a single person with a price to match no bar,en,positive
Sai,Singapore,Superior Double Room,2,October 2023,Couple,excellent location,Location is excellent. Just 5 mins walk to the metro and buses. Lots of eating options within walking distance. 10 mins walk to the shopping area of Santa Catarina which is a pedestrian street with lots of shops. There is also a shopping mall within which there is a supermarket. Lots of eating cafés there too.,"The hotel is rather antiquated. Maybe, it is because the owner is a collector of old stuff. The doors were old fashioned. Didn't feel safe. Had to place a chair next to the door before we slept. also had to remember pushing the lock button when we leave the room. It does not lock by itself unlike the modern hotels",8.0,2023-10,2023,10,"Location is excellent. Just 5 mins walk to the metro and buses. Lots of eating options within walking distance. 10 mins walk to the shopping area of Santa Catarina which is a pedestrian street with lots of shops. There is also a shopping mall within which there is a supermarket. Lots of eating cafés there too. The hotel is rather antiquated. Maybe, it is because the owner is a collector of old stuff. The doors were old fashioned. Didn't feel safe. Had to place a chair next to the door before we slept. also had to remember pushing the lock button when we leave the room. It does not lock by itself unlike the modern hotels",en,positive
Jane,Canada,Budget Double Room,6,October 2023,Couple,A memorable hotel. Something different but highly recommended.,"Location is within walking distance to many popular sites, the River, and historical district. We had a double room which was very spacious, sitting area, large bathroom, robes and slippers. The hotel decor is fascinating. Older building with character and charm. Steps from vegetation and brunch places. Terrace bar overlooking the city.",,9.0,2023-10,2023,10,"Location is within walking distance to many popular sites, the River, and historical district. We had a double room which was very spacious, sitting area, large bathroom, robes and slippers. The hotel decor is fascinating. Older building with character and charm. Steps from vegetation and brunch places. Terrace bar overlooking the city.",en,positive
Thomas,United Kingdom,Budget Single Room,1,September 2023,Solo traveller,"Enjoyable, I like it as its easy to get to after a days travel.","Self service breakfast, friendly staff, good selection of food even though its the same every morning. If booked online don't bother with breakfast just pay the cash when you arrive. The hotel is a 10min walk from Trinidad metro so easy for the airport. local trams to the coast and mainline train station. Every time I've stayed the rooms have been clean and tidy though the single rooms can be small, but that was ok. Quite a few local places to eat at night. The hotel has a nice character about it",,9.0,2023-09,2023,9,"Self service breakfast, friendly staff, good selection of food even though its the same every morning. If booked online don't bother with breakfast just pay the cash when you arrive. The hotel is a 10min walk from Trinidad metro so easy for the airport. local trams to the coast and mainline train station. Every time I've stayed the rooms have been clean and tidy though the single rooms can be small, but that was ok. Quite a few local places to eat at night. The hotel has a nice character about it",en,positive
Janice,Canada,Twin Room,2,October 2023,Group,Very good,"Location excellent, close to all easy to walk around.",Should have coffee packets in room & creamers.,8.0,2023-10,2023,10,"Location excellent, close to all easy to walk around. Should have coffee packets in room & creamers.",en,positive
Susan,United Kingdom,Twin Room,3,October 2023,Group,Very good location. Clean hotel.,Good location. Quirky decor throughout hotel. Clean rooms with decent facilities. Small fridge and digital safe.,"Small reception area. We arrived 10 minutes before check in time, and although we were the only people there we had to wait in the lounge until called over? Small rooftop terrace bar - weather dependent, no indoor option. Very limited food options/chips and toasted sandwiches. Twin room had one double bed and one single bed - always complicated when deciding who has which bed when two friends share. Small issue, but would be better to have to two of the same beds in twin rooms. No milk or coffee with tea/coffee tray? Very firm beds. Good for me, but may be a problem for those who prefer softer beds.",8.0,2023-10,2023,10,"Good location. Quirky decor throughout hotel. Clean rooms with decent facilities. Small fridge and digital safe. Small reception area. We arrived 10 minutes before check in time, and although we were the only people there we had to wait in the lounge until called over? Small rooftop terrace bar - weather dependent, no indoor option. Very limited food options/chips and toasted sandwiches. Twin room had one double bed and one single bed - always complicated when deciding who has which bed when two friends share. Small issue, but would be better to have to two of the same beds in twin rooms. No milk or coffee with tea/coffee tray? Very firm beds. Good for me, but may be a problem for those who prefer softer beds.",en,positive
Judith,Portugal,Budget Double Room,1,October 2023,Couple,"Close to Metro, but quite a LONG walk to the river.","Quirky and fun atmosphere, props such as old tea and coffee cannisters, bumper cars, interesting light fixtures, amazing 1930s spiral staircase. Nice staff.","The coffee machine in the breakfast room didn't work well and it took ages because of the long queue of people to get a coffee. Once we did, it really wasn't good.",7.0,2023-10,2023,10,"Quirky and fun atmosphere, props such as old tea and coffee cannisters, bumper cars, interesting light fixtures, amazing 1930s spiral staircase. Nice staff. The coffee machine in the breakfast room didn't work well and it took ages because of the long queue of people to get a coffee. Once we did, it really wasn't good.",en,neutral
Judy,United Kingdom,Basic Double Room,3,October 2023,Family,Great central location for Porto city break,"Rooms spacious, with good facilities: TV, tea and coffee making, fridge, secure safe, very clean bathroom with shampoo and conditioner plus hairdryer, nice strong hot shower, good hanging storage, black out blinds and good double glazing.","The 6th floor terrace was used by smokers so not always pleasant. Limited place to sit inside hotel, while waiting to depart for example.",9.0,2023-10,2023,10,"Rooms spacious, with good facilities: TV, tea and coffee making, fridge, secure safe, very clean bathroom with shampoo and conditioner plus hairdryer, nice strong hot shower, good hanging storage, black out blinds and good double glazing. The 6th floor terrace was used by smokers so not always pleasant. Limited place to sit inside hotel, while waiting to depart for example.",en,positive
Nick,United Kingdom,Superior Double Room,4,October 2023,Couple,"All in all we enjoyed our stay, and would certainly consider staying again if visiting Porto","Location was under ten minutes walk from Trindade Metro, and central for main attractions. Room was clean and comfortable, and the air conditioning was quiet and effective. The staff on the reception desk were both friendly and helpful","The roof top terrace only opened between 9pm and midnight! Why not earlier? The noise from the street outside was quite loud at times, and did disturb our sleep. The hotel did not have a downstairs lounge area, which was disappointing.",8.0,2023-10,2023,10,"Location was under ten minutes walk from Trindade Metro, and central for main attractions. Room was clean and comfortable, and the air conditioning was quiet and effective. The staff on the reception desk were both friendly and helpful The roof top terrace only opened between 9pm and midnight! Why not earlier? The noise from the street outside was quite loud at times, and did disturb our sleep. The hotel did not have a downstairs lounge area, which was disappointing.",en,positive
John,Ireland,Budget Double Room,4,October 2023,Couple,Very good,Excellent breakfast friendly staff great location,,8.0,2023-10,2023,10,Excellent breakfast friendly staff great location,en,positive
Emma,United Kingdom,Basic Double Room,3,October 2023,Couple,Great stay in Porto,"Rooftop bar was cute Room was clean and spacious Location great, we walked everywhere no issues","Breakfast was just ok, there is plenty of options nearby thou",8.0,2023-10,2023,10,"Rooftop bar was cute Room was clean and spacious Location great, we walked everywhere no issues Breakfast was just ok, there is plenty of options nearby thou",en,positive
Moonbrain,United Kingdom,Budget Single Room,4,September 2023,Group,Short stay in a central location,"A good location - lots of restaurants close by. A short walk from the train station and easy to walk to the sights. Very quirky décor - bumper cars, displays of vintage children toys and household items on every floor of the staircase!",The shower in the room could do with some updating.,7.0,2023-09,2023,9,"A good location - lots of restaurants close by. A short walk from the train station and easy to walk to the sights. Very quirky décor - bumper cars, displays of vintage children toys and household items on every floor of the staircase! The shower in the room could do with some updating.",en,neutral
Diane,United States,Deluxe Double Room with Balcony,4,September 2023,Couple,Good location.,Close to a lot of interesting things to do. Helpful staff. We had a large room so always more comfortable than a cramp one.,"Old elevator, not the best breakfast I have seen but decent. Not that friendly breakfast employees.",8.0,2023-09,2023,9,"Close to a lot of interesting things to do. Helpful staff. We had a large room so always more comfortable than a cramp one. Old elevator, not the best breakfast I have seen but decent. Not that friendly breakfast employees.",en,positive
Carrie,United Kingdom,Basic Double Room,4,October 2023,Couple,"Great city for a short break. Hotel was really central, very quirky.",Location was perfect. Staff were lovely. Breakfast was good.,Nothing,8.0,2023-10,2023,10,Location was perfect. Staff were lovely. Breakfast was good. Nothing,en,positive
Cynthia,United States,Budget Single Room,1,September 2023,Solo traveller,Superb,I loved the retro decor in the public areas (interesting and fun memorabilia).,,9.0,2023-09,2023,9,I loved the retro decor in the public areas (interesting and fun memorabilia).,en,positive
Amr,United Kingdom,Budget Double Room,6,September 2023,Couple,Superb,"Room was nice , good space.",,9.0,2023-09,2023,9,"Room was nice , good space.",en,positive
Louise,United Kingdom,Basic Double Room,3,September 2023,Group,Weekend in Porto,"Great location, interesting decor, quiet comfortable room, lovely shower.",Wish the roof top bar was open earlier.,9.0,2023-09,2023,9,"Great location, interesting decor, quiet comfortable room, lovely shower. Wish the roof top bar was open earlier.",en,positive
Mark,United Kingdom,Deluxe Double Room with Balcony,3,September 2023,Couple,Superb,Great location and helpful friendly staff,,9.0,2023-09,2023,9,Great location and helpful friendly staff,en,positive
Fabio,United States,Budget Single Room,5,September 2023,Solo traveller,Very good,Very well located,,8.0,2023-09,2023,9,Very well located,en,positive
Marion,Australia,Budget Double Room,2,August 2023,Couple,Enjoyable,Staff very friendly and helpful. Interesting paraphernalia on display.,A but further from the harbour where we spent our time.,8.0,2023-08,2023,8,Staff very friendly and helpful. Interesting paraphernalia on display. A but further from the harbour where we spent our time.,en,positive
Paprika,Denmark,Budget Double Room,2,September 2023,Couple,Great location and comfortable stay,"Perfect location, and really fun with the theme",,8.0,2023-09,2023,9,"Perfect location, and really fun with the theme",en,positive
Sarah,New Zealand,Budget Double Room,3,September 2023,Couple,Great location and wonderful staff all round!,Location is great and staff were so lovely!,I understand that it’s meant to be a vintage hotel but there are some things in dire need of an update.,8.0,2023-09,2023,9,Location is great and staff were so lovely! I understand that it’s meant to be a vintage hotel but there are some things in dire need of an update.,en,positive
Richard,United Kingdom,Budget Double Room,3,September 2023,Couple,"Excellent hotel , clean, great staff perfect lock","Location was really central for sightseeing, loved the quirky stuff .",Nothing,9.0,2023-09,2023,9,"Location was really central for sightseeing, loved the quirky stuff . Nothing",en,positive
Farrugia,Malta,Budget Double Room,3,September 2023,Couple,Very good,"Centrally located, limited but good breakfast",The rooftop can be so much better. The location and ambiance are so nice but little is done in it.,8.0,2023-09,2023,9,"Centrally located, limited but good breakfast The rooftop can be so much better. The location and ambiance are so nice but little is done in it.",en,positive
Daniel,Canada,Single Room,3,September 2023,Solo traveller,Staff were attentive and kind,Eccentric decor ( the owners collects old consumer bric a brac); location and proximity to important sites and to restaurants. Washing facilities were good and updated though the new fittings were a bit on the cheaper side,"Rooms were basic; the barrier to the. Breakfast room: even though the reason it was there was understandable, it made a poor impression",9.0,2023-09,2023,9,"Eccentric decor ( the owners collects old consumer bric a brac); location and proximity to important sites and to restaurants. Washing facilities were good and updated though the new fittings were a bit on the cheaper side Rooms were basic; the barrier to the. Breakfast room: even though the reason it was there was understandable, it made a poor impression",en,positive
Patrick,Ireland,Budget Double Room,4,September 2023,Solo traveller,Great experience,"Great location, friendly staff. Excellent experience",Nothing,8.0,2023-09,2023,9,"Great location, friendly staff. Excellent experience Nothing",en,positive
Mary,Ireland,Budget Double Room,4,August 2023,Couple,Would highly recommend as it is in a very central location.,Everything was wonderful in a different ecclectic hotel. Thank you very much. Highly recommended.,Liked everything.,8.0,2023-08,2023,8,Everything was wonderful in a different ecclectic hotel. Thank you very much. Highly recommended. Liked everything.,en,positive
Robert,Australia,Budget Double Room,3,August 2023,Solo traveller,Comfortable and enjoyable.,It’s unique and quirky. An interesting place to stay and the best location.,Nothing comes to mind,9.0,2023-08,2023,8,It’s unique and quirky. An interesting place to stay and the best location. Nothing comes to mind,en,positive
Berdel,Canada,Budget Single Room,1,August 2023,Solo traveller,The bedroom was comfortable and staff are nice.,Proximity to city centre.,Bathroom needs some renovation. Some signs of mildew in the shower.,7.0,2023-08,2023,8,Proximity to city centre. Bathroom needs some renovation. Some signs of mildew in the shower.,en,neutral
